year,franchise_value,attendance
2002
2003
2004
2005
2006
2007
2008
2009
2010
2011
2012,1300000000,
2013,1500000000,
2014,2100000000,
2015,2300000000,
2016,2300000000,
2017,2700000000,
2018,2800000000,
2019,3200000000,
2020,3300000000,
2021,3500000000,
2022,3900000000,
2023,4500000000,
2024,4500000000,
